Prompt,Tag
"What is emotion in the experience? Respond with 'the emotion is X' where X is a word or short phrase describing the speaker's emotional state (e.g. happiness, anxiety, etc.). If there is no detectable emotion, respond with 'NA'. Do not provide any other response.",emotion
"What is the cognitive process that the speaker is engaged in? Respond with 'the cognitive process is X' where X is a word or short phrase describing a higher-order cognitive process or operation (e.g. decision making, problem-solving). If there is no detectable cognitive process, respond with 'NA'. Do not provide any other response.",cognitiveprocess
"What is the goal of the speaker? Respond with 'the goal is X' where X is a word or short phrase describing the speaker's higher-order goal or objective (e.g. safety, happiness, etc.). If there is no detectable goal, respond with 'NA'. Do not provide any other response.",goal
"What is the action performed by the speaker? Respond with 'the action is X' where X is a word or short phrase describing the speaker's action, behavior, or activity (e.g. shopping, yelling, etc.). If there is no detectable action, respond with 'NA'. Do not provide any other response.",action
"Where do the events in this experience take place? Respond with 'the location is X' where X is a word or short phrase describing the location or general environment (e.g. home, grocery store, etc.). If there is no detectable location, respond with 'NA'. Do not provide any other response.",location
"What is the social context of the experience? Respond with 'the social context is X' where X is a word or short phrase describing the other people that are present, or the social and interpersonal cues considered by the speaker (e.g. family, co-workers, etc.). If there is no detectable social context, respond with 'NA'. Do not provide any other response.",socialcontext
"What is the main sensory modality of the experience? Respond with 'the modality is X' where is X is a word or short phrase describing the dominant senses (e.g. visual, olfactory, etc.). If there is no detectable sensory modality, respond with 'NA'. Do not provide any other response.",sensorymodality
"To what extent does this experience involve duty? Experiences that are high on this dimension have the following features: A job needs to be done, Someone is being counted on to do something, Minor details are important, Task-oriented thinking is called for. Respond on a scale of 1 to 7, where higher numbers indicate higher duty. Do not provide any other response.",duty
"To what extent does this experience involve intellect? Experiences that are high on this dimension have the following features: There is intellectual or cognitive stimuli, There is an opportunity to demonstrate intellectual capacity, There is an opportunity to express unusual ideas or points of view, Situation evokes values concerning lifestyles or politics. Respond on a scale of 1 to 7, where higher numbers indicate higher intellect. Do not provide any other response.",intellect
"To what extent does this experience involve adversity? Experiences that are high on this dimension have the following features: Someone is being criticized, Someone is being blamed for something, Someone is being under threat, Someone is being dominated or bossed around.  Respond on a scale of 1 to 7, where higher numbers indicate higher adversity. Do not provide any other response",adversity
"To what extent does this experience involve mating? Experiences that are high on this dimension have the following features: Potential sexual or romantic partners are present, Situation includes stimuli that could be construed sexually, Physical attractiveness is relevant, Members of the opposite sex are present.  Respond on a scale of 1 to 7, where higher numbers indicate higher mating. Do not provide any other response.",mating
"To what extent does this experience involve positivity? Experiences that are high on this dimension have the following features: Situation is enjoyable, Situation is playful, Situation is humorous, Situation is simple and clear-cut.  Respond on a scale of 1 to 7, where higher numbers indicate higher positivity. Do not provide any other response.",positivity
"To what extent does this experience involve negativity? Experiences that are high on this dimension have the following features: Situation is anxiety-inducing, Situation could entail stress or trauma, Situation would make some people tense and upset, Situation entails frustration.  Respond on a scale of 1 to 7, where higher numbers indicate higher negativity. Do not provide any other response.",negativity
"To what extent does this experience involve deception? Experiences that are high on this dimension have the following features: It is possible to deceive someone, A person or activity could be undermined or sabotaged, Situation may cause feelings of hostility, Someone in this situation might be deceitful. Respond on a scale of 1 to 7, where higher numbers indicate higher deception. Do not provide any other response.",deception
"To what extent does this experience involve sociality? Experiences that are high on this dimension have the following features: Social interaction is possible, Close personal relationships are present or could develop, Behavior of others presents a wide range of interpersonal cues, A reassuring other person is present. Respond on a scale of 1 to 7, where higher numbers indicate higher sociality. Do not provide any other response.",sociality
"To what extent does this experience involve fictionality? Experiences that are high on this dimension have the following features: The content is imaginary or made-up, Characters or events are not based on real life, Elements such as fantasy or science fiction are present, Situations could not happen in the real world. Respond on a scale of 1 to 7, where higher numbers indicate higher fictionality. Do not provide any other response.",fictionality
