Dimension,Items,Reverse Coded
Autonomy,"the speaker was not afraid to voice their opinions, even when they were in opposition to others?",Yes
Personal Growth,"the speaker was continuously in the process of learning, changing, and growing?",Yes
Environmental Mastery,the speaker felt in charge of the situation?,Yes
Positive Relations,"the speaker would be described as a giving person, willing to share their time with others?",Yes
Personal Growth,the speaker was not interested in expanding their horizons?,No
Purpose in Life,the speaker enjoyed making plans for the future and working to make them a reality?,Yes
Positive Relations,the speaker was seen as loving and affectionate?,Yes
Self-Acceptance,the speaker felt disappointed by their achievements in life?,No
Purpose in Life,the speaker lived one day at a time without much thought for the future?,No
Autonomy,the speaker worried about what others thought of them?,No
Self-Acceptance,the speaker felt pleased with how their life had turned out?,Yes
Environmental Mastery,the speaker found it difficult to arrange their life in a satisfying way?,No
Autonomy,the speaker's decisions were not influenced by what everyone else was doing?,Yes
Personal Growth,the speaker had given up trying to make big improvements or changes in their life?,No
Environmental Mastery,the demands of everyday life affected the speaker negatively?,No
Positive Relations,the speaker had not experienced many warm and trusting relationships with others?,No
Personal Growth,the speaker valued new experiences that challenge their thoughts about themselves and the world?,Yes
Positive Relations,the speaker found it difficult and frustrating to maintain close relationships?,No
Self-Acceptance,the speaker's self-attitude was less positive than most people's?,No
Purpose in Life,the speaker felt a sense of direction and purpose?,Yes
Autonomy,the speaker judged themselves by their own values rather than by others' values?,Yes
Self-Acceptance,the speaker felt confident and positive about themselves?,Yes
Environmental Mastery,the speaker had built a living environment and lifestyle they liked?,Yes
Autonomy,the speaker was influenced by people with strong opinions?,No
Personal Growth,the speaker did not enjoy new situations that required change in familiar routines?,No
Environmental Mastery,the speaker felt they did not fit well with the people and community around them?,No
Positive Relations,the speaker felt mutual trust with their friends?,Yes
Personal Growth,the speaker felt they hadn't improved much as a person over the years?,No
Purpose in Life,"the speaker felt they had direction in life, unlike those who wander aimlessly?",Yes
Positive Relations,the speaker felt lonely due to a lack of close friends for sharing concerns?,No
Self-Acceptance,the speaker felt good about themselves when comparing to friends and acquaintances?,Yes
Purpose in Life,the speaker lacked a clear sense of what they were trying to accomplish in life?,No
Purpose in Life,the speaker felt as if they had done all there is to do in life?,No
Self-Acceptance,the speaker felt others had gotten more out of life than they had?,No
Autonomy,"the speaker had confidence in their opinions, even if contrary to the general consensus?",Yes
Environmental Mastery,the speaker felt that they were good at managing the responsibilities of daily life?,Yes
Personal Growth,the speaker felt they had developed significantly as a person over time?,Yes
Positive Relations,the speaker enjoyed personal and mutual conversations with family members and friends?,Yes
Purpose in Life,the speaker found their daily activities trivial and unimportant?,No
Self-Acceptance,the speaker liked most parts of their personality?,Yes
Autonomy,the speaker found it difficult to voice their opinions on controversial matters?,No
Environmental Mastery,the speaker felt overwhelmed by their responsibilities?,No
