Dimension,Items,Reverse Coded
Relationship - Support,there are people the speaker depended on to help them?,No
Relationship - Support,there are people who gave the speaker support and encouragement?,No
Relationship - Support,there are people who appreciated the speaker as a person?,No
Relationship - Community,the speaker pitched in to help when their local community needed something done?,No
Relationship - Community,the speaker invited their neighbors to their home?,No
Relationship - Community,the speaker looked for ways to help their neighbors when they are in need?,No
Relationship - Trust,the speaker trusted people in their society?,No
Relationship - Trust,people in the speaker's neighborhood can be trusted?,No
Relationship - Trust,most people the speaker met are honest?,No
Relationship - Respect,people respected the speaker?,No
Relationship - Respect,people were polite to the speaker?,No
Relationship - Respect,the speaker was treated with the same amount of respect as others?,No
Relationship - Loneliness,the speaker felt lonely?,No
Relationship - Loneliness,the speaker often felt left out?,No
Relationship - Loneliness,there was no one the speaker felt close to?,No
Relationship - Belonging,the speaker felt a sense of belonging in their community?,No
Relationship - Belonging,the speaker felt a sense of belonging in their state or province?,No
Relationship - Belonging,the speaker felt a sense of belonging in their country?,No
Engagement,the speaker was fully absorbed in the activities they were doing?,No
Engagement,the speaker felt energized in most activities they do?,No
Engagement,the speaker felt excited when they were working on something?,No
Mastery - Skills,the speaker used their skills a lot in their everyday life?,No
Mastery - Skills,the speaker used their talents?,No
Mastery - Skills,the speaker felt they do what they are good at everyday?,No
Mastery - Learning,the speaker learned something new?,No
Mastery - Learning,the speaker felt learning new things is important?,No
Mastery - Learning,the speaker always learns something everyday?,No
Mastery - Accomplishment,the speaker felt they achieved most of their goals?,No
Mastery - Accomplishment,the speaker felt they fulfilled their ambitions?,No
Mastery - Accomplishment,the speaker is on track to reach their dreams?,No
Mastery - Self-Efficacy,the speaker succeeded when they put their mind to it?,No
Mastery - Self-Efficacy,the speaker was confident that they could deal with unexpected events?,No
Mastery - Self-Efficacy,the speaker believed that they are capable in most things?,No
Mastery - Self-Worth,the speaker felt what they do in life is valuable and worthwhile?,No
Mastery - Self-Worth,the speaker felt the things they did contributed to society?,No
Mastery - Self-Worth,the speaker felt the work they did was important for other people?,No
Autonomy - Control,other people decided most of the speaker's life decisions?,Yes
Autonomy - Control,the life choices the speaker made were not really theirs?,Yes
Autonomy - Control,other people decided what the speaker could and could not do?,Yes
Meaning,the speaker felt their life has a clear sense of purpose?,No
Meaning,the speaker felt they had found a satisfactory meaning in life?,No
Meaning,the speaker knew what gives meaning to their life?,No
Optimism,the speaker felt optimistic about their future?,No
Optimism,the speaker had a positive outlook on life?,No
Optimism,the speaker expected more good things in their life than bad?,No
Subjective Well-Being - Life Satisfaction,the speaker felt in most ways their life was close to their ideal?,No
Subjective Well-Being - Life Satisfaction,the speaker felt satisfied with their life?,No
Subjective Well-Being - Life Satisfaction,the speaker felt their life is going well?,No
Subjective Well-Being - Positive Feelings,the speaker felt positive most of the time?,No
Subjective Well-Being - Positive Feelings,the speaker felt happy most of the time?,No
Subjective Well-Being - Positive Feelings,the speaker felt good most of the time?,No
Subjective Well-Being - Negative Feelings,the speaker felt negative most of the time?,Yes
Subjective Well-Being - Negative Feelings,the speaker experienced unhappy feelings most of the time?,Yes
Subjective Well-Being - Negative Feelings,the speaker feels bad most of the time?,Yes
Autonomy,"the speaker was not afraid to voice their opinions, even when they were in opposition to others?",Yes
Personal Growth,"the speaker was continuously in the process of learning, changing, and growing?",Yes
Environmental Mastery,the speaker felt in charge of the situation?,Yes
Positive Relations,"the speaker would be described as a giving person, willing to share their time with others?",Yes
Personal Growth,the speaker was not interested in expanding their horizons?,No
Purpose in Life,the speaker enjoyed making plans for the future and working to make them a reality?,Yes
Positive Relations,the speaker was seen as loving and affectionate?,Yes
Self-Acceptance,the speaker felt disappointed by their achievements in life?,No
Purpose in Life,the speaker lived one day at a time without much thought for the future?,No
Autonomy,the speaker worried about what others thought of them?,No
Self-Acceptance,the speaker felt pleased with how their life had turned out?,Yes
Environmental Mastery,the speaker found it difficult to arrange their life in a satisfying way?,No
Autonomy,the speaker's decisions were not influenced by what everyone else was doing?,Yes
Personal Growth,the speaker had given up trying to make big improvements or changes in their life?,No
Environmental Mastery,the demands of everyday life affected the speaker negatively?,No
Positive Relations,the speaker had not experienced many warm and trusting relationships with others?,No
Personal Growth,the speaker valued new experiences that challenge their thoughts about themselves and the world?,Yes
Positive Relations,the speaker found it difficult and frustrating to maintain close relationships?,No
Self-Acceptance,the speaker's self-attitude was less positive than most people's?,No
Purpose in Life,the speaker felt a sense of direction and purpose?,Yes
Autonomy,the speaker judged themselves by their own values rather than by others' values?,Yes
Self-Acceptance,the speaker felt confident and positive about themselves?,Yes
Environmental Mastery,the speaker had built a living environment and lifestyle they liked?,Yes
Autonomy,the speaker was influenced by people with strong opinions?,No
Personal Growth,the speaker did not enjoy new situations that required change in familiar routines?,No
Environmental Mastery,the speaker felt they did not fit well with the people and community around them?,No
Positive Relations,the speaker felt mutual trust with their friends?,Yes
Personal Growth,the speaker felt they hadn't improved much as a person over the years?,No
Purpose in Life,"the speaker felt they had direction in life, unlike those who wander aimlessly?",Yes
Positive Relations,the speaker felt lonely due to a lack of close friends for sharing concerns?,No
Self-Acceptance,the speaker felt good about themselves when comparing to friends and acquaintances?,Yes
Purpose in Life,the speaker lacked a clear sense of what they were trying to accomplish in life?,No
Purpose in Life,the speaker felt as if they had done all there is to do in life?,No
Self-Acceptance,the speaker felt others had gotten more out of life than they had?,No
Autonomy,"the speaker had confidence in their opinions, even if contrary to the general consensus?",Yes
Environmental Mastery,the speaker felt that they were good at managing the responsibilities of daily life?,Yes
