Scale,Dimension,Item-sit
PERMA,Accomplishment,How much does this experience indicate the speaker felt they were making progress towards accomplishing their goals?
PERMA,Engagement,How much does this experience indicate the speaker became absorbed in what they were doing?
PERMA,Positive Emotion,How much does this experience indicate the speaker felt joyful?
PERMA,Negative emotion,How much does this experience indicate the speaker felt anxious?
PERMA,Accomplishment,How much does this experience indicate the speaker achieved the important goals they set for themselves?
PERMA,Health,How much does this experience indicate the speaker perceived their health positively?
PERMA,Meaning,How much does this experience indicate the speaker felt their life was purposeful and meaningful?
PERMA,Relationships,How much does this experience indicate the speaker received help and support from others when needed?
PERMA,Meaning,How much does this experience indicate the speaker felt what they did in life was valuable and worthwhile?
PERMA,Engagement,How much does this experience indicate the speaker felt excited and interested in things?
PERMA,Lonliness,How much does this experience indicate the speaker felt lonely in their daily life?
PERMA,Health,How much does this experience indicate the speaker felt satisfied with their current physical health?
PERMA,Positive Emotion,How much does this experience indicate the speaker felt positive?
PERMA,Negative emotion,How much does this experience indicate the speaker felt angry?
PERMA,Accomplishment,How much does this experience indicate the speaker was able to handle their responsibilities?
PERMA,Negative emotion,How much does this experience indicate the speaker felt sad?
PERMA,Engagement,How much does this experience indicate the speaker lost track of time while doing something they enjoyed?
PERMA,Health,How much does this experience indicate the speaker perceived their health to be better than others of the same age and sex?
PERMA,Relationships,How much does this experience indicate the speaker felt loved?
PERMA,Meaning,How much does this experience indicate the speaker felt they had a sense of direction in life?
PERMA,Relationships,How much does this experience indicate the speaker felt satisfied with their personal relationships?
PERMA,Positive Emotion,How much does this experience indicate the speaker felt contented?
PERMA,Happiness,How much does this experience indicate the speaker felt happy overall?
WBP,Autonomy,How much does this experience indicate the speaker felt free to act on their decisions?
WBP,Autonomy,How much does this experience indicate the speaker felt free to make their own choices?
WBP,Autonomy,How much does this experience indicate the speaker felt free to decide for themselves how to live their life?
WBP,Clear Thinking,How much does this experience indicate the speaker’s ability to think clearly?
WBP,Clear Thinking,How much does this experience indicate the speaker stayed focused when they needed to?
WBP,Clear Thinking,How much does this experience indicate the speaker was able to concentrate when necessary?
WBP,Competence,How much does this experience indicate the speaker was competent and capable in important activities?
WBP,Competence,How much does this experience indicate the speaker believes they do most things well?
WBP,Competence,How much does this experience indicate the speaker’s ability to perform well and succeed in most things they do
WBP,Emotional Stability,How much does this experience indicate the speaker did not get upset easily?
