Factor,Variable,Loading
Factor 1,"('WBP', 'Competence', 'the_speaker_was_competent_and_capable_in_important_activities?')",0.8862014337038709
Factor 1,"('CIT', 'Mastery_-_Self-Efficacy', 'the_speaker_succeeded_when_they_put_their_mind_to_it?')",0.8576777754255629
Factor 1,"('CIT', 'Mastery_-_Self-Efficacy', 'the_speaker_believed_that_they_are_capable_in_most_things?')",0.8470254916393397
Factor 1,"('WBP', 'Meaning', 'the_speaker_felt_a_sense_of_direction?')",0.8409503977317685
Factor 1,"('WBP', 'Meaning', 'the_speaker_had_a_clear_sense_of_purpose?')",0.8355907459677283
Factor 1,"('PWB', 'Purpose_in_Life', 'the_speaker_felt_a_sense_of_direction_and_purpose?')",0.827366300054461
Factor 1,"('CIT', 'Mastery_-_Accomplishment', 'the_speaker_felt_they_fulfilled_their_ambitions?')",0.8144782350632158
Factor 1,"('CIT', 'Mastery_-_Skills', 'the_speaker_used_their_skills_a_lot_in_their_everyday_life?')",0.8126449755520107
Factor 1,"('PANAS', 'Positive', 'the_speaker_was_determined?')",0.8100635544641802
Factor 1,"('WBP', 'Clear_Thinking', 'the_speaker_stayed_focused_when_they_needed_to?')",0.7990406742506204
Factor 2,"('PERMA', 'Positive_Emotion', 'the_speaker_felt_joyful?')",0.8540006644284452
Factor 2,"('WBP', 'Positive_Emotions', 'the_speaker_felt_cheerful?')",0.8443541263147449
Factor 2,"('WBP', 'Optimism', 'the_speaker_felt_very_optimistic_in_the_moment?')",0.8425351838201405
Factor 2,"('WBP', 'Positive_Emotions', 'the_speaker_felt_happy?')",0.8411937583987726
Factor 2,"('WHO-5', 'Well-Being', 'the_speaker_felt_cheerful_and_in_good_spirits?')",0.8372928675604075
Factor 2,"('WBP', 'Positive_Emotions', 'the_speaker_considered_themselves_happy?')",0.8296131804207728
Factor 2,"('PERMA', 'Happiness', 'the_speaker_felt_happy_overall?')",0.8274125592635581
Factor 2,"('PERMA', 'Positive_Emotion', 'the_speaker_felt_contented?')",0.8156582615203549
Factor 2,"('CIT', 'Optimism', 'the_speaker_had_a_positive_outlook_on_life?')",0.7850697435547972
Factor 2,"('CIT', 'Subjective_Well-Being_-_Life_Satisfaction', 'the_speaker_felt_satisfied_with_their_life?')",0.7813963885956293
Factor 3,"('WBP', 'Positive_Relationships', 'the_speaker_felt_supported_by_people_who_care_about_them?')",0.9110424227571519
Factor 3,"('CIT', 'Relationship_-_Support', 'there_are_people_who_appreciated_the_speaker_as_a_person?')",0.8565846469007437
Factor 3,"('WBP', 'Positive_Relationships', 'the_speaker_has_close_and_secure_relationships?')",0.8524658789757907
Factor 3,"('PERMA', 'Relationships', 'the_speaker_felt_satisfied_with_their_personal_relationships?')",0.8356682640655966
Factor 3,"('WBP', 'Positive_Relationships', 'the_speaker_has_people_with_whom_they_can_discuss_intimate_and_personal_matters?')",0.8342478797594989
Factor 3,"('PERMA', 'Relationships', 'the_speaker_felt_loved?')",0.8259939798777703
Factor 3,"('CIT', 'Relationship_-_Support', 'there_are_people_who_gave_the_speaker_support_and_encouragement?')",0.8228503874376422
Factor 3,"('PWB', 'Positive_Relations', 'the_speaker_enjoyed_personal_and_mutual_conversations_with_family_members_and_friends?')",0.7931572492088451
Factor 3,"('CIT', 'Relationship_-_Support', 'there_are_people_the_speaker_depended_on_to_help_them?')",0.792744936046883
Factor 3,"('CIT', 'Relationship_-_Trust', 'the_speaker_trusted_people_in_their_society?')",0.7884988978315272
Factor 4,"('PWB', 'Environmental_Mastery', 'the_demands_of_everyday_life_affected_the_speaker_negatively?')",0.7211091559332885
